variable,variable_type,unit,explanation
oxygen_thepary_2,Outcome,,Was a second oxygen therapy method applied?
oxygen_thepary,Outcome,,Was oxygen therapy applied during hospital admission
oxygen_application_method_2#sonde_tube,Outcome,binary,oxygen 2 applied with sonde tube
oxygen_application_method_2#mask,Outcome,binary,oxygen 2 applied with mask
oxygen_application_method_1#other,Outcome,binary,oxygen 1 applied with other
oxygen_application_method_1#mask,Outcome,binary,oxygen 1 applied with mask
outcome_status_d7,Outcome,,Outcome status DAY 7 (0: ICU, 1: hospitalised, 2: discharged, 3: dead)
outcome_status_d5,Outcome,,Outcome status DAY 5 (0: ICU, 1: hospitalised, 2: discharged, 3: dead)
outcome_status_d30,Outcome,,Outcome status DAY 30 (0: ICU, 1: hospitalised, 2: discharged, 3: dead)
outcome_status_d3,Outcome,,Outcome status DAY 3 (0: ICU, 1: hospitalised, 2: discharged, 3: dead)
outcome_status_d1,Outcome,,Outcome status DAY 1 (0: ICU, 1: hospitalised, 2: discharged, 3: dead)
outcome_status_d0,Outcome,,Outcome status DAY 0 (0: ICU, 1: hospitalised, 2: discharged, 3: dead)
los_totaladmission,Outcome,days,Total Length of Stay (LOS)
los_gw,Outcome,hours,LOS general ward
los_ICU,Outcome,hours,LOS Intensive Care Unit
duration_oxy,Outcome,,Duration oxygen therapy
discharge_to,Outcome,,Discharge from hospital to
clin_diagn#healthy_lung,Outcome,binary,Diagnosis-healthy lung
clin_diagn#bacterial_pneumonia,Outcome,binary,Diagnosis-bacterial pneumonia
clin_diagn#COVID19_pneumonia,Outcome,binary,Diagnosis-COVID19 pneumonia
clin_diagn#other_viral_pneumonia,Outcome,binary,Diagnosis-other viral pneumonia
clin_diagn#other_lung_disease,Outcome,binary,Diagnosis-other lung disease
Transfer_1_to,Outcome,,Transfer 1 to
incl_crit#sore_throat,Inclusion Criteria,binary,sore throat
incl_crit#shortness_of_breath_or_difficulty_breathing,Inclusion Criteria,binary,shortness of breath or difficulty breathing
incl_crit#runny_nose,Inclusion Criteria,binary,Inclusion-runny nose
incl_crit#loss_of_taste,Inclusion Criteria,binary,Inclusion-loss of taste
incl_crit#loss_of_smell,Inclusion Criteria,binary,Inclusion-loss of smell
incl_crit#fever_or_chills,Inclusion Criteria,binary,Inclusion-fever or chills
incl_crit#cough,Inclusion Criteria,binary,Inclusion-cough
incl_crit#congestion,Inclusion Criteria,binary,Inclusion-congestion
dur_symp,Inclusion Criteria,days,Duration of symptoms (number of DAYS)
test_meth_covid#PCR_rapid_test,COVID-19 Test Results,binary,PCR rapid test
test_meth_covid#PCR_normal,COVID-19 Test Results,binary,PCR normal
PCR_CT,COVID-19 Test Results,,COVID-19 PCR CT value
sys_bp,Blood pressure,,Systolic pressure
dias_bp,Blood pressure,,Diastolic pressure
trombocytes_find,Complete blood count,10E9/l,Trombocytes
pO2_find,Complete blood count,kPa,pO2
pH_find,Complete blood count,,pH
pCO2_find,Complete blood count,kPa,pCO2
leucocytes_find,Complete blood count,10E9/l,Leucocytes
hg_find,Complete blood count,mmol/l,Hemoglobin
excess_find,Complete blood count,mmol/l,Base excess
Rh_factor,Complete blood count,,Rhesus factor
LDH_find,Complete blood count,U/l,LDH
HCO3_find,Complete blood count,mmol/l,HCO3
CRP,Complete blood count,mg/L,CRP
lymphocytes,Complete blood count,,lymphocytes
absolute_lymphocytes,Complete blood count,,absolute lymphocytes
C19_vacc,Additional Data,,Covid-19 vaccinaction?
Blood_type,Additional Data,,Blood type
